"","carat","cut","color","clarity","depth","table","price","x","y","z"
"6359",1,"Fair","F","SI2",59,67,4036,6.48,6.41,3.8
"4517",1,"Fair","D","SI2",65.2,56,3634,6.27,6.21,4.07
"22109",1,"Premium","E","VVS1",60.3,54,10134,6.59,6.47,3.94
"6637",1,"Very Good","I","SI1",63.2,56,4088,6.37,6.31,4.01
"13077",1,"Very Good","E","SI1",63.7,55,5413,6.35,6.4,4.06
"8311",1,"Good","H","SI1",63.4,56,4389,6.34,6.37,4.03
"3710",1,"Premium","E","SI2",58.5,59,3450,6.62,6.51,3.84
"8776",1,"Good","H","SI1",57.9,54,4469,6.68,6.62,3.85
"11834",1,"Premium","H","VS2",61.3,61,5096,6.44,6.38,3.93
"12957",1,"Premium","H","VS1",61.5,57,5387,6.44,6.37,3.94
"49069",1,"Premium","H","I1",62.7,59,2058,6.39,6.33,3.98
"6416",1,"Very Good","H","SI2",62.5,58,4042,6.27,6.36,3.95
"5838",1,"Premium","I","VS2",62.7,62,3918,6.32,6.27,3.95
"20629",1,"Premium","F","VVS2",60.6,54,8924,6.56,6.52,3.96
"17101",1,"Very Good","G","VVS2",64.9,57,6818,6.21,6.28,4.05
"7277",1,"Good","H","SI1",63.7,55,4200,6.33,6.29,4.02
"13695",1,"Very Good","G","VS2",63.3,60,5600,6.37,6.29,4.01
"7959",1,"Very Good","E","SI2",59.6,59,4321,6.48,6.51,3.87
"15884",1,"Premium","F","VS2",62.4,60,6352,6.35,6.38,3.97
"16967",1,"Premium","D","VS2",60.8,61,6776,6.41,6.39,3.89
"7301",1,"Good","I","VS1",63.8,56,4202,6.35,6.32,4.04
"15744",1,"Premium","F","VS2",62.9,59,6296,6.47,6.4,4.02
"17142",1,"Good","F","VS2",61.1,61,6841,6.38,6.45,3.92
"4583",1,"Good","G","SI2",57.8,64,3651,6.55,6.5,3.77
"4127",1,"Fair","G","SI2",64.7,58,3541,6.24,6.19,4.02
"2746",1,"Fair","H","SI2",66.5,62,3248,6.19,6.1,4.09
"14563",1,"Ideal","D","SI1",60.5,57,5880,6.52,6.48,3.93
"16448",1,"Good","D","SI1",59.9,62,6568,6.41,6.45,3.85
"5409",1,"Premium","H","VS2",59.8,56,3819,6.5,6.48,3.88
"20578",1,"Premium","E","VVS2",62.7,60,8888,6.32,6.34,3.97
