"","carat","cut","color","clarity","depth","table","price","x","y","z"
"386",0.99,"Fair","I","SI2",68.1,56,2811,6.21,6.06,4.18
"424",0.99,"Fair","J","SI1",55,61,2812,6.72,6.67,3.68
"1276",0.99,"Fair","J","SI1",58,67,2949,6.57,6.5,3.79
"3171",0.99,"Fair","I","SI1",60.7,66,3337,6.42,6.34,3.87
"4308",0.99,"Fair","H","VS2",71.6,57,3593,5.94,5.8,4.2
"6217",0.99,"Very Good","J","SI1",60.3,57,4002,6.44,6.49,3.9
"6460",0.99,"Good","F","SI2",63.3,54,4052,6.36,6.43,4.05
"6558",0.99,"Premium","F","SI2",60.6,61,4075,6.45,6.38,3.89
"10309",0.99,"Ideal","I","SI1",61.8,57,4763,6.4,6.42,3.96
"10416",0.99,"Very Good","E","SI2",61.8,59,4780,6.3,6.33,3.9
"10752",0.99,"Very Good","F","SI2",61.2,56,4852,6.4,6.45,3.93
"10805",0.99,"Very Good","G","SI1",62.8,56,4863,6.34,6.36,3.99
"11357",0.99,"Very Good","D","SI2",62.5,57,4993,6.3,6.34,3.95
"11884",0.99,"Very Good","F","SI1",62.5,58,5112,6.36,6.38,3.98
"12602",0.99,"Ideal","H","SI1",61.1,56,5287,6.44,6.47,3.94
"13940",0.99,"Very Good","D","SI1",62.6,57,5671,6.34,6.37,3.98
"14125",0.99,"Ideal","F","SI1",62.8,57,5728,6.3,6.38,3.98
"14608",0.99,"Premium","F","VS2",62.6,55,5893,6.5,6.35,4.02
"14777",0.99,"Ideal","F","VS1",61,55,5947,6.46,6.52,3.96
"14991",0.99,"Ideal","F","SI1",62.1,58,6038,6.33,6.4,3.95
"15159",0.99,"Very Good","F","VS2",61.8,57,6094,6.37,6.39,3.94
"46680",0.99,"Fair","J","I1",73.6,60,1789,6.01,5.8,4.35
"47803",0.99,"Fair","J","I1",62.9,58,1901,6.33,6.1,3.91
